"Arrival Time","Data","Info"
"Oct  5, 2015 12:29:01.053553000 -03","578f4aa8675085526a59a768644f536654525554506455546a6a576a50565068a7645868â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 2)"
"Oct  5, 2015 12:29:01.053567000 -03","578f4aa8675085526a59a768644f536654525554506455546a6a576a50565068a7645868â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 1)"
"Oct  5, 2015 12:29:01.053790000 -03","558887533458a785a8a7595250668756a652a8585355556a6a5768595059a755a76a6655â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 4)"
"Oct  5, 2015 12:29:01.053795000 -03","558887533458a785a8a7595250668756a652a8585355556a6a5768595059a755a76a6655â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 3)"
"Oct  5, 2015 12:29:01.053904000 -03","85556685554f665934575967a8596867a7885468595564a669556785a588855868666a67â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 6)"
"Oct  5, 2015 12:29:01.053909000 -03","85556685554f665934575967a8596867a7885468595564a669556785a588855868666a67â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 5)"
"Oct  5, 2015 12:29:01.054009000 -03","a6536764885657a55955875834595555a669a550a74f56a564a6a7665756a858855366a8â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 8)"
"Oct  5, 2015 12:29:01.054014000 -03","a6536764885657a55955875834595555a669a550a74f56a564a6a7665756a858855366a8â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 7)"
"Oct  5, 2015 12:29:01.054108000 -03","66a5a8a856664f4f52874f68505754503455a56aa855a76859554fa56754a8598754a852â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 10)"
"Oct  5, 2015 12:29:01.054112000 -03","66a5a8a856664f4f52874f68505754503455a56aa855a76859554fa56754a8598754a852â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 9)"
"Oct  5, 2015 12:29:01.054205000 -03","a655556a875887565869538850675757a668565334885354536a68696888505364a850a5â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 12)"
"Oct  5, 2015 12:29:01.054209000 -03","a655556a875887565869538850675757a668565334885354536a68696888505364a850a5â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 11)"
"Oct  5, 2015 12:29:01.054299000 -03","6a646a5553a85954584f595659a5a5a7a86a5358a8a864a7345556a5578856a888a66652â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 14)"
"Oct  5, 2015 12:29:01.054303000 -03","6a646a5553a85954584f595659a5a5a7a86a5358a8a864a7345556a5578856a888a66652â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 13)"
"Oct  5, 2015 12:29:01.054393000 -03","5752506455a8a85388a76766a6a852526a4f54855964525957586a5334a74f6667a56a68â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 16)"
"Oct  5, 2015 12:29:01.054397000 -03","5752506455a8a85388a76766a6a852526a4f54855964525957586a5334a74f6667a56a68â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 15)"
"Oct  5, 2015 12:29:01.054486000 -03","5457884f50665666a6a7505256575856566485a8a688a664a54f87854f66555334855968â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 18)"
"Oct  5, 2015 12:29:01.054490000 -03","5457884f50665666a6a7505256575856566485a8a688a664a54f87854f66555334855968â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 17)"
"Oct  5, 2015 12:29:01.054578000 -03","6757666854686aa759576485a657596a68a6a7a7a768a6594f57a652a66688876a565366â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 20)"
"Oct  5, 2015 12:29:01.054582000 -03","6757666854686aa759576485a657596a68a6a7a7a768a6594f57a652a66688876a565366â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 19)"
"Oct  5, 2015 12:29:01.054668000 -03","a85655558757506669574f535858698566694f855653a785885752888758688867856950â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 22)"
"Oct  5, 2015 12:29:01.054672000 -03","a85655558757506669574f535858698566694f855653a785885752888758688867856950â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 21)"
"Oct  5, 2015 12:29:01.054758000 -03","506687555353598552a6a787668556528868a5696667696a64a757a65558696858546957â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 24)"
"Oct  5, 2015 12:29:01.054762000 -03","506687555353598552a6a787668556528868a5696667696a64a757a65558696858546957â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 23)"
"Oct  5, 2015 12:29:01.054848000 -03","574f5064a5a78769596a85686aa667a76959876aa7a5696750524fa885a8a559a758684fâ\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 26)"
"Oct  5, 2015 12:29:01.054851000 -03","574f5064a5a78769596a85686aa667a76959876aa7a5696750524fa885a8a559a758684fâ\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 25)"
"Oct  5, 2015 12:29:01.054937000 -03","4f68695955506a566958a859a6586956588764a6a88866a8a6a7a7a8a556a75267596655â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 28)"
"Oct  5, 2015 12:29:01.054941000 -03","4f68695955506a566958a859a6586956588764a6a88866a8a6a7a7a8a556a75267596655â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 27)"
"Oct  5, 2015 12:29:01.055027000 -03","a75487575787a7535488a554a6a65052a5a84fa668855468686aa7665553668553555358â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 30)"
"Oct  5, 2015 12:29:01.055030000 -03","a75487575787a7535488a554a6a65052a5a84fa668855468686aa7665553668553555358â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 29)"
"Oct  5, 2015 12:29:01.055116000 -03","a7578885545656508569685053a6506955525052666a585767666768a7555568a86a56a5â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 32)"
"Oct  5, 2015 12:29:01.055120000 -03","a7578885545656508569685053a6506955525052666a585767666768a7555568a86a56a5â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 31)"
"Oct  5, 2015 12:29:01.055204000 -03","6655a75566a66a578556858788646988506667a566884f685385a8545388665956a85857â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 34)"
"Oct  5, 2015 12:29:01.055208000 -03","6655a75566a66a578556858788646988506667a566884f685385a8545388665956a85857â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 33)"
